TransID,ItemID
1,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
2,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
3,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition , Beginning Programming with Java"
5,"Android Programming: The Big Nerd Ranch, Beginning Programming with Java, Java 8 Pocket Guide"
6,"A Beginner’s Guide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
7,"A Beginner’s Guide, Head First Java 2nd Edition , Beginning Programming with Java"
8,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
9,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition , Beginning Programming with Java"
10,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
11,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
12,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, HTML and CSS: Design and Build Websites"
13,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
14,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
15,"Java For Dummies, Android Programming: The Big Nerd Ranch"
16,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
17,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
18,"Head First Java 2nd Edition , Beginning Programming with Java, Java 8 Pocket Guide"
19,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
20,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
