TransID,ItemID
1,"fruits,food,vegetables"
2,"fruits,drink,dairy products,food"
3,"drink,dairy products,food"
4,"fruits,dairy products,vegetables,drink"
5,"food,fruits,dairy products"
6,"utility products,food,dairy products"
7,"drink,fruits,food,dairy products"
8,"drink,vegetables,food"
9,"fruits,utility products,vegetables,dairy products"
10,"food,vegetables,dairy products"
11,"food,utility products,drink,vegetables,dairy products"
12,"drink,food"
13,"drink,dairy products,food"
14,"food,utility products"
15,"food,utility products,vegetables,dairy products"
16,"drink,utility products,dairy products,food"
17,"drink,utility products,dairy products,food"
18,"drink,fruits,dairy products,food"
19,"vegetables,dairy products,food"
20,"drink,food"
21,"food,vegetables"
22,"food,drink,dairy products"
23,"dairy products,food"
24,"dairy products,vegetables,drink"
25,"food,dairy products"
26,"utility products,food,dairy products"
27,"dairy products,drink"
28,"drink,food"
29,"dairy products,utility products"
30,"food,vegetables,food"
31,"vegetables,dairy products,utility products"
33,"food,dairy products"
35,"vegetables,dairy products,food"
36,"dairy products,utility products,food"
37,"dairy products,utility products"
38,"drink,dairy products"
39,"food,dairy products"
40,"drink,food"
41,"fruits,food"
42,"food,dairy products"
43,"vegetables,dairy products"
44,"dairy products,utility products"
45,"food,utility products"
46,"dairy products,fruits"
