TransID,ItemID
1,"Decorative Pillows, Quilts, Embroidered Bedspread"
2,"Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections, Bed Skirts, Bedspreads, Sheets"
3,"Decorative Pillows, Quilts, Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections"
4,"Kids Bedding, Bedding Collections, Sheets, Bedspreads, Bed Skirts"
5,"Decorative Pillows, Kids Bedding, Bedding Collections, Sheets, Bed Skirts, Bedspreads"
6,"Bedding Collections, Bedspreads, Bed Skirts, Sheets, Shams, Kids Bedding"
7,"Decorative Pillows, Quilts"
8,"Decorative Pillows, Quilts, Embroidered Bedspread"
9,"Bedspreads, Bed Skirts, Shams, Kids Bedding, Sheets"
10,"Quilts, Embroidered Bedspread, Bedding Collections"
11,"Bedding Collections, Bedspreads, Bed Skirts, Kids Bedding, Shams, Sheets"
12,"Decorative Pillows, Quilts"
13,"Embroidered Bedspread, Shams"
14,"Sheets, Shams, Bed Skirts, Kids Bedding"
15,"Decorative Pillows, Quilts"
16,"Decorative Pillows, Kids Bedding, Bed Skirts, Shams"
17,"Decorative Pillows, Shams, Bed Skirts"
18,"Quilts, Sheets, Kids Bedding"
19,"Shams, Bed Skirts, Kids Bedding, Sheets"
20,"Decorative Pillows, Bedspreads, Shams, Sheets, Bed Skirts, Kids Bedding"
